"isqno","attacker","nam","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","co","cdb13_actors"
166,0,"BR & FR ARMY",16000,3,8500,7500,4105,11895,,0,0,0,56,0,0,,0,"DO","FF",,,,"0",,,,4,0,7,0,5,"RAGLAN & CANROBERT","Great Britain & France"
166,1,"RUSS ARMY",42000,1,42000,0,15187,26813,,0,0,0,106,0,0,,0,"FF",,,,,,"RR","WD",,0,-4,0,-21,3,"MENSHIKOV","Russia"
167,0,"AUS ARMY",61618,1,61618,0,10236,51382,3435,0,0,0,152,0,0,,0,"DO","FF",,"EE",,"0","WD",,,0,-14,0,-1,3,"GYULAI","Austria"
167,1,"FR & PIED ARMY",48090,1,48090,0,4530,43560,1207,0,0,0,87,0,0,,0,"FF",,,,,,"PP",,,3,0,2,0,5,"NAPOLEON III","France"
168,0,"AUS ARMY",130000,1,130000,0,21800,108200,,0,0,0,536,0,0,,0,"DO","FF",,,,"0","RR","WD",,0,-8,1,0,3,"FRANZ JOSEPH I","Austria"
168,1,"FR & PIED ARMY",143000,1,143000,0,17400,125600,15000,0,0,0,420,0,0,,0,"FF",,,,,,"PP",,,0,-17,0,-3,5,"NAPOLEON III","France"
169,0,"AUS & SAX ARMY",215000,1,215000,0,44300,170700,24000,0,0,0,770,0,0,187,0,"DO","FF",,,,"0","RR","WD",,0,-5,2,-10,5,"BENEDEK","Austria"
169,1,"PR ARMY GROUP",220000,3,105000,115000,9200,210800,27000,0,0,0,780,0,0,,0,"DE","FF",,,,,"PP",,,2,0,9,-2,7,"MOLTKE","Prussia"
17,0,"FR ARMY",11000,1,11000,0,3500,7500,5000,0,0,0,15,0,0,6,0,"DD",,,,,"0","WL",,,0,-27,57,-57,3,"TURENNE","France"
170,0,"AUS ARMY",75000,1,75000,0,5600,69400,,0,0,0,172,0,0,,0,"DO","FF",,,,"0",,,,0,-1,0,-17,6,"ARCHDUKE ALBERT","Austria"
170,1,"ITAL ARMY",90000,3,,,8100,81900,7000,0,0,0,192,0,0,14,0,"FF",,,,,,"RR","WD",,0,-11,1,0,3,"LA MARMORA","Italy"
17,1,"IMP ARMY",10000,1,10000,0,700,9300,5000,0,0,0,,0,0,,0,"FF",,,,,,"BB","PS",,30,0,0,-57,9,"MERCY & WERTH","Holy Roman Empire"
171,0,"CS ARMY",32500,3,30500,2000,1982,30518,1300,0,0,0,49,0,0,0,0,"DO",,,,,"0",,,,0,-32,0,-12,6,"BEAUREGARD & JOHNSTON","Confederacy"
171,1,"US ARMY",35000,1,35000,0,2896,32104,,0,0,0,55,0,0,27,0,"EE","LF",,"FF",,,"RR","WD",,2,-19,15,-9,4,"MACDOWELL","USA"
172,0,"CS ARMY",10175,1,10175,0,1095,9080,,0,0,0,15,0,0,0,0,"DO",,,,,"0",,,,14,0,8,0,6,"MCCULLOCH","Confederacy"
172,1,"US ARMY",5400,1,5400,0,1235,4165,,0,0,0,16,0,0,5,0,"FF",,,"EE","LR",,"RR","WD",,0,-20,10,-10,5,"LYON","USA"
173,0,"CS ARMY",5000,3,2500,2500,642,4358,0,0,0,0,6,0,0,6,0,"DO","EE","LF",,,"0",,,,20,-20,40,0,5,"POLK","Confederacy"
173,1,"US ARMY",3144,1,3144,0,607,2537,0,0,0,0,6,0,0,0,0,"FF",,,,,,"PP","WD",,0,-5,0,-18,6,"GRANT","USA"
174,0,"US ARMY",4000,1,4000,0,262,3738,,0,0,0,7,0,0,0,0,"DO","DE",,,,"0","PS",,,0,-38,0,-6,8,"THOMAS","USA"
174,1,"CS ARMY",4000,1,4000,0,533,3467,,0,0,0,12,0,0,12,0,"FF",,,,,,"RR","WL",,25,0,10,-10,4,"ZOLLICOFFER","Confederacy"
175,0,"US ARMY",27000,1,27000,0,2609,24391,,0,0,0,,0,0,,0,"DO",,,,,"0","PS",,,10,-10,11,0,7,"GRANT","USA"
175,1,"CS ARMY",21000,1,21000,0,2000,19000,,0,0,0,14,0,0,0,0,"FF",,,,,,"PP","WD",,0,-29,10,-10,4,"FLOYD","Confederacy"
176,0,"US ARMY OF THE SOUTHWEST",10500,1,10500,0,1384,9116,,0,0,0,49,0,0,10,0,"DO",,,,,"0","PP",,,14,0,0,-6,7,"CURTIS","USA"
176,1,"CS ARMY",16202,1,16202,0,1300,14902,,0,0,0,50,0,0,4,0,"EE","LR",,"EE","RF",,"RR","WD",,0,-14,0,-38,5,"VAN DORN","Confederacy"
177,0,"US ARMY",7000,1,7000,0,590,6410,750,0,0,0,24,0,0,0,0,"DO",,,,,"0","WD",,,29,0,10,-10,7,"SHIELDS","USA"
177,1,"CS ARMY",3087,1,3087,0,718,2369,290,0,0,0,30,0,0,0,0,"FF",,,,,,"RR",,,40,-11,0,-3,4,"JACKSON","Confederacy"
178,0,"US ARMIES OF THE TENNESSEE AND OHIO",66812,3,41330,25482,13047,53765,,0,0,0,170,0,0,29,0,"DO","FF",,,,"0","PP",,,0,-6,10,-10,6,"GRANT","USA"
178,1,"CS ARMY OF MISSISSIPPI",40355,1,40355,0,10699,29656,,0,0,0,108,0,0,30,0,"FF",,,,,,"PP","RR","WD",0,-10,10,-10,4,"A. S. JOHNSTON","Confederacy"
179,0,"US 1ST MARYLAND REGIMENT",1063,1,1063,0,904,159,0,0,0,0,2,0,0,2,0,"DD",,,,,"0","AA",,,0,-6,5,-5,3,"KENLY","USA"
179,1,"CS VALLEY ARMY",16000,1,16000,0,35,15965,1700,0,0,0,48,0,0,0,0,"FF","DE",,,,,"BB",,,6,0,43,0,9,"JACKSON","Confederacy"
18,0,"IMP ARMY",16000,1,16000,0,6000,10000,5000,0,0,0,28,0,0,15,0,"DO","EE","RF","EE","RF","0","WD",,,25,-6,0,-17,6,"MERCY & WERTH","Holy Roman Empire"
180,0,"US V CORPS",7000,1,7000,0,2126,4874,,0,0,0,2,0,0,2,0,"DD",,,,,"0","WL",,,21,0,0,-29,3,"BANKS","USA"
180,1,"CS VALLEY ARMY",16000,1,16000,0,365,15635,1700,0,0,0,48,0,0,0,0,"FF","EE","RF",,,,"BB","PS",,6,0,10,0,8,"JACKSON","Confederacy"
18,1,"FR ARMY",18000,1,18000,0,7500,10500,5000,0,0,0,,0,0,4,0,"FF",,,"EE","RF",,"SS",,,56,-6,0,-33,7,"CONDE","France"
181,0,"CS VALLEY ARMY",5000,1,5000,0,288,4712,,0,0,0,16,0,0,0,0,"DO","FF",,,,"0","PP",,,10,0,5,-5,9,"EWELL","Confederacy"
181,1,"US ARMY OF W. VA.",10500,1,10500,0,684,9816,,0,0,0,30,0,0,0,0,"FF",,,,,,"RR","WD",,14,0,5,-5,3,"FREMONT","USA"
182,0,"US V CORPS",3000,1,3000,0,1018,1982,150,0,0,0,16,0,0,8,0,"DO","FF",,,,"0","PP","RR","WL",67,-17,10,-10,5,"TYLER","USA"
182,1,"CS VALLEY ARMY",15000,3,1200,13800,800,14200,,0,0,0,12,0,0,0,0,"FF",,,"EE","LF",,"BB","PS",,0,-13,0,-10,8,"JACKSON","Confederacy"
183,0,"US ARMY OF THE POTOMAC",41797,3,8253,33544,5000,36797,,0,0,0,,0,0,,0,"DD",,,,,"0",,,,8,0,5,-5,5,"MCCLELLAN","USA"
183,1,"CS ARMY",41816,3,7580,34236,6100,35716,,0,0,0,,0,0,10,0,"FF",,,,,,"PP","RR","SS",0,-7,5,-5,4,"J. E. JOHNSTON & SMITH","Confederacy"
184,0,"US ARMY OF THE POTOMAC",15631,1,15631,0,361,15270,,0,0,0,,0,0,,0,"DD",,,,,"0",,,,0,-36,0,-31,7,"PORTER","USA"
184,1,"CS ARMY OF NORTHERN VIRGINIA",16808,1,16808,0,1484,15324,,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,0,-39,35,0,5,"LEE","Confederacy"
185,0,"US ARMY OF THE POTOMAC",34214,3,25214,9000,6837,27377,,0,0,0,,0,0,,0,"DD",,,,,"0",,,,10,-10,10,-10,6,"PORTER","USA"
185,1,"CS ARMY OF NORTHERN VIRGINIA",57018,3,21752,35266,8751,48267,,0,0,0,,0,0,,0,"FF",,,"EE","RF",,"RR",,,10,-10,10,-10,5,"LEE","Confederacy"
186,0,"US ARMY OF THE POTOMAC",83345,3,24635,58710,4443,78902,,0,0,0,,0,0,,0,"DD",,,,,"0",,,,10,-10,10,-10,6,"SUMNER, HEINTZELMAN & PORTER","USA"
186,1,"CS ARMY OF NORTHERN VIRGINIA",86748,3,11000,75748,4241,82507,,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,10,-10,10,-10,5,"LEE","Confederacy"
187,0,"US ARMY OF THE POTOMAC",78902,1,78902,0,3214,75688,,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,0,-10,10,-10,6,"MCCLELLAN","USA"
187,1,"CS ARMY OF NORTHERN VIRGINIA",82507,1,82507,0,5355,77152,,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,0,-10,10,-10,4,"LEE","Confederacy"
188,0,"CS ARMY OF NORTHERN VIRGINIA",16848,1,16848,0,1338,15510,1200,0,0,0,,0,0,,0,"DO","FF",,,,"0","PP",,,19,0,2,0,6,"JACKSON","Confederacy"
188,1,"US ARMY OF VIRGINIA(-)",8030,1,8030,0,2353,5677,1167,0,0,0,,0,0,,0,"FF",,,,,,"PP","RR","WD",25,0,1,0,5,"BANKS","USA"
189,0,"CS ARMY OF NORTHERN VIRGINIA",48527,3,20000,28527,9474,39053,2768,0,0,0,,0,0,,0,"DO","EE","LF",,,"0","BB","PS",,10,-10,0,-3,9,"LEE","Confederacy"
189,1,"US ARMY OF VIRGINIA(+)",75696,3,35083,40613,14462,61234,,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,10,-10,0,-11,3,"POPE","USA"
19,0,"IMP ARMY",18000,1,18000,0,10000,8000,8000,0,0,0,38,0,0,38,0,"DO","EE","RF",,,"0","WL",,,10,-10,20,-20,3,"LEOPOLD WILLIAM","Holy Roman Empire"
190,0,"CS ARMY OF NORTHERN VIRGINIA (-)",17852,1,17852,0,2685,15167,700,0,0,0,7,0,0,,0,"DD",,,,,"0","WD",,,10,-10,10,-10,5,"D. H. HILL","Confederacy"
190,1,"US ARMY OF THE POTOMAC",28480,1,28480,0,1813,26667,,0,0,0,27,0,0,,0,"FF","EE","LF",,,,"PP","PS",,10,-10,10,-10,6,"MCCLELLAN","USA"
19,1,"FR ARMY",14000,1,14000,0,4000,10000,5000,0,0,0,,0,0,0,0,"DE",,,,,,"BB","PS",,14,0,0,-63,9,"CONDE","France"
191,0,"CS ARMY OF NORTHERN VIRGINIA",46000,3,43000,3000,13700,32300,,0,0,0,,0,0,,0,"DO",,,,,"0","WD",,,13,-13,0,-18,7,"LEE","Confederacy"
191,1,"US ARMY OF THE POTOMAC",90000,1,90000,0,12410,77590,4500,0,0,0,,0,0,,0,"FF","DE",,,,,"RR","SS",,0,-16,10,-10,5,"MCCLELLAN","USA"
192,0,"CS ARMY OF WESTERN TENNESSEE",21147,1,21147,0,2520,18627,,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,9,-5,10,-10,7,"VAN DORN","Confederacy"
192,1,"US ARMY OF THE MISSISSIPPI",22000,1,22000,0,4233,17767,,0,0,0,,0,0,,0,"FF","DE",,,,,"BB","PS",,0,-9,10,-10,5,"ROSECRANS","USA"
193,0,"CS ARMY OF TENNESSEE (-)",16000,1,16000,0,3396,12604,,0,0,0,,0,0,,0,"DO","FF","EE",,,"0","PP","WD",,0,-6,10,-10,5,"BRAGG","Confederacy"
193,1,"US ARMY OF THE OHIO",36940,1,36940,0,4211,32729,,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,0,-27,10,-10,5,"BUELL","USA"
194,0,"CS ARMY OF NORTHERN VIRGINIA",72497,1,72497,0,4656,67841,,0,0,0,,0,0,,0,"DD",,,,,"0",,,,0,-19,15,0,9,"LEE","Confederacy"
194,1,"US ARMY OF THE POTOMAC",106007,1,106007,0,12653,93354,,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,10,0,10,-10,3,"BURNSIDE","USA"
195,0,"US ARMY OF THE CUMBERLAND",41400,1,41400,0,12906,28494,3200,0,0,0,100,0,0,28,0,"DD",,,,,"0",,,,5,0,3,0,5,"ROSECRANS","USA"
195,1,"CS ARMY OF TENNESSEE",34732,1,34732,0,11739,22993,4500,0,0,0,120,0,0,6,0,"FF","DE",,,,,"PP","SS","WD",9,0,0,-13,5,"BRAGG","Confederacy"
196,0,"CS ARMY OF NORTHERN VIRGINIA",60892,1,60892,0,12821,48071,,0,0,0,170,0,0,7,0,"DO","EE","RR",,,"0","BB",,,0,-6,0,-3,10,"LEE","Confederacy"
196,1,"US ARMY OF THE POTOMAC",113000,3,109480,3520,17278,95722,,0,0,0,404,0,0,120,0,"EE","LR",,"FF",,,"RR","WD",,18,-14,0,-3,3,"HOOKER","USA"
197,0,"CS ARMY",20000,1,20000,0,3851,16149,500,0,0,0,,0,0,30,0,"DO","FF",,,,"0","PP","RR","WD",0,-10,20,-10,4,"PEMBERTON","Confederacy"
197,1,"US ARMY",29373,1,29373,0,2441,26932,,0,0,0,,0,0,,0,"FF",,,,,,"PP","PS",,19,-32,10,-10,8,"GRANT","USA"
198,0,"CS CAVALRY CORPS",10000,1,10000,0,500,9500,,0,0,0,,0,0,,0,"DO",,,,,"0",,,,3,0,5,-3,5,"STUART","Confederacy"
198,1,"US CAVALRY CORPS",12000,3,10500,1500,900,11100,10500,0,0,0,,0,0,3,0,"FF","EE","RR",,,,"PP","WD",,0,-8,4,-4,6,"PLEASANTON","USA"
199,0,"US ARMY OF THE POTOMAC",83289,3,23600,59689,23049,60240,13000,0,0,0,300,0,0,6,0,"DD",,,,,"0",,,,12,0,5,-5,6,"MEADE","USA"
199,1,"CS ARMY OF NORTHERN VIRGINIA",75054,3,28800,46254,28063,46991,8000,0,0,0,250,0,0,3,0,"FF","DE",,,,,"RR","WD",,3,-7,0,-27,4,"LEE","Confederacy"
2,0,"BOH REB ARMY",21000,1,21000,0,5000,16000,11000,0,0,0,10,0,0,10,0,"DO","FF",,,,"0","RR","WL",,29,0,20,0,2,"CHRISTIAN OF ANHALT-BERNBERG","Bohemia"
20,0,"ENG PARL ARMY",14870,1,14870,0,2500,12370,2500,0,0,0,15,0,0,7,0,"DO","FF",,,,"0","WD",,,2,-13,0,-60,4,"ESSEX","Parliamentarian"
200,0,"US ARMY OF THE CUMBERLAND",58222,1,58222,0,16170,42052,10000,0,0,0,246,0,0,51,0,"DD",,,,,"0","WD",,,0,-2,10,-10,4,"ROSECRANS","USA"
200,1,"CS ARMY OF TENNESSEE",66326,1,66326,0,18454,47872,8000,0,0,0,,0,0,15,0,"FF",,,,,,"PP","PS",,8,0,0,-4,6,"BRAGG","Confederacy"
20,1,"ENG ROY ARMY",14300,1,14300,0,2500,11800,3500,0,0,0,20,0,0,0,0,"FF",,,,,,"BB",,,3,-6,60,0,7,"CHARLES I","Royalist"
201,0,"CS ARMY OF TENNESSEE",40000,1,40000,0,6667,33333,4856,0,0,0,,0,0,40,0,"DD",,,,,"0","WD",,,15,0,10,-10,4,"BRAGG","Confederacy"
201,1,"US ARMY OF THE CUMBERLAND",61000,1,61000,0,5824,55176,,0,0,0,,0,0,,0,"FF","EE","RF","FF","PP",,"BB","PS",,0,-8,10,-10,8,"GRANT","USA"
202,0,"CS ARMY OF NORTHERN VIRGINIA",61025,3,31000,30025,7750,53275,7261,0,0,0,224,0,0,,0,"DO",,,,,"0","RR","SS","WD",10,-10,55,0,5,"LEE","Confederacy"
202,1,"US ARMY OF THE POTOMAC",101895,3,74000,27895,17666,84229,13003,0,0,0,318,0,0,2,0,"FF","EE","RF",,,,"RR","SS",,10,-10,10,-10,4,"GRANT","USA"
203,0,"CS ARMY OF NORTHERN VIRGINIA",50000,3,14000,36000,10000,40000,7000,0,0,0,200,0,0,18,0,"DO",,,,,"0","SS","WD",,15,-15,50,0,6,"LEE","Confederacy"
203,1,"US ARMY OF THE POTOMAC",90000,3,20000,70000,18399,71601,12000,0,0,0,274,0,0,,0,"FF","DE",,,,,"SS",,,10,-20,0,-40,5,"GRANT","USA"
204,0,"US ARMY OF THE POTOMAC",5150,1,5150,0,831,4319,1000,0,0,0,22,0,0,5,0,"DD",,,,,"0","WD",,,10,-10,10,-10,3,"SIGEL","USA"
204,1,"CS ARMY OF NORTHERN VIRGINIA",5000,1,5000,0,577,4423,900,0,0,0,14,0,0,0,0,"FF",,,,,,"PP",,,25,-10,10,-10,5,"BRECKINRIDGE","Confederacy"
205,0,"CS ARMY OF NORTHERN VIRGINIA",59000,1,59000,0,1500,57500,,0,0,0,,0,0,,0,"DD",,,,,"0","SS","WD",,0,-10,33,-33,7,"LEE","Confederacy"
205,1,"US ARMY OF THE POTOMAC(+)",107907,1,107907,0,11000,96907,12976,0,0,0,,0,0,,0,"FF",,,,,,"RR","SS",,0,-10,0,-36,5,"GRANT","USA"
206,0,"CS ARMY OF TENNESSEE",17733,1,17733,0,442,17291,,0,0,0,,0,0,,0,"DD",,,,,"0","SS","WD",,0,-2,81,0,7,"JOHNSTON","Confederacy"
206,1,"US ARMY OF THE CUMBERLAND",16225,1,16225,0,2051,14174,,0,0,0,200,0,0,,0,"FF",,,,,,"RR","SS",,0,-13,22,0,4,"SHERMAN","USA"
207,0,"US ARMY OF THE CUMBERLAND",20139,1,20139,0,1600,18539,,0,0,0,,0,0,,0,"DD",,,,,"0",,,,10,-10,10,-10,7,"THOMAS","USA"
207,1,"CS ARMY OF TENNESSEE",18832,1,18832,0,2746,16086,,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,10,-10,0,-11,3,"HOOD","Confederacy"
208,0,"US ARMY OF THE TENNESSEE",30477,1,30477,0,3722,26755,,0,0,0,,0,0,13,0,"DD",,,,,"0",,,,10,-10,0,-2,6,"MCPHERSON","USA"
208,1,"CS ARMY OF TENNESSEE",36934,1,36934,0,8000,28934,7150,0,0,0,,0,0,,0,"FF","EE","LF",,,,"RR","WD",,10,-10,6,0,3,"HOOD","Confederacy"
209,0,"CS PETERSBURG GARRISSON (+)",41499,3,5400,36099,4752,36747,1624,0,0,0,,0,0,,0,"DD",,,,,"0","SS",,,10,-10,20,-20,7,"BEAUREGARD","Confederacy"
209,1,"US ARMY OF THE JAMES",63797,3,16100,47697,8150,55647,,0,0,0,,0,0,,0,"FF",,,,,,"RR","SS",,10,-10,40,0,4,"BUTLER","USA"
2,1,"IMP & HOLY LEAGUE ARMY",40000,1,40000,0,400,39600,7500,0,0,0,12,0,0,0,0,"FF",,,,,,"BB","PS",,0,-50,10,-10,8,"BUCQUOI","Holy Roman Empire"
21,0,"ENG ROY ARMY",17500,1,17500,0,6000,11500,6500,0,0,0,16,0,0,16,0,"DO","FF",,,,"0","PP","RR","WL",3,0,0,-6,4,"RUPERT","Royalist"
210,0,"CS III CORPS (+)",14787,3,,,1619,13168,,0,0,0,30,0,0,,0,"DD",,,,,"0","SS",,,10,-10,20,-20,4,"HILL","Confederacy"
210,1,"US V CORPS(+)",20289,3,11832,8457,4455,15834,,0,0,0,,0,0,,0,"FF","EE",,,,,"PP","SS",,10,-10,10,-10,5,"WARREN","USA"
21,1,"ENG PARL ARMY",27000,1,27000,0,1500,25500,9000,0,0,0,25,0,0,0,0,"FF",,,,,,"BB","PS",,0,-26,10,-10,8,"MANCHESTER","Royalist"
211,0,"CS II CORPS",17103,1,17103,0,3921,13182,5135,0,0,0,,0,0,5,0,"DD",,,,,"0","WL",,,0,-29,17,0,4,"EARLY","Confederacy"
211,1,"US ARMY OF THE SHENANDOAH",37711,1,37711,0,5018,32693,10000,0,0,0,100,0,0,,0,"FF","DE",,,,,"PP",,,10,-10,10,-10,6,"SHERIDAN","USA"
212,0,"US ARMY OF THE SHENANDOAH",30829,1,30829,0,5665,25164,7929,0,0,0,,0,0,0,0,"DO","FF",,,,"0","PP",,,10,-10,10,-10,7,"SHERIDAN","USA"
212,1,"CS II CORPS",18410,1,18410,0,2910,15500,3864,0,0,0,40,0,0,24,0,"FF","EE","LF",,,,"RR","WL",,10,-10,10,-10,3,"EARLY","Confederacy"
213,0,"US 4TH & 23RD ARMY CORPS(+)",27939,1,27939,0,2326,25613,6400,0,0,0,60,0,0,8,0,"DD",,,,,"0","WD",,,15,0,10,-10,7,"SCHOFIELD","USA"
213,1,"CS ARMY OF TENNESSEE",26897,1,26897,0,6252,20645,5000,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,12,0,10,-10,3,"HOOD","Confederacy"
214,0,"CS ARMY OF TENNESSEE",23207,1,23207,0,5350,17857,1080,0,0,0,156,0,0,59,0,"DD",,,,,"0","WD",,,10,-10,11,0,2,"HOOD","Confederacy"
214,1,"US ARMY OF THE CUMBERLAND(-)(+)",49773,1,49773,0,3061,46712,11643,0,0,0,170,0,0,,0,"FF","EE","LR",,,,"BB","PS",,10,-10,10,-10,8,"THOMAS","USA"
215,0,"US ARMY OF GEORGIA (-)",60000,3,17990,42010,1646,58354,4500,0,0,0,,0,0,4,0,"DO","FF",,,,"0","PS",,,0,-20,10,-10,7,"SHERMAN","USA"
215,1,"CS ARMY OF TENNESSEE",27000,1,27000,0,2606,24394,5000,0,0,0,,0,0,,0,"FF","EE","LF",,,,"RR","WD",,0,-20,26,-19,4,"JOHNSTON","Confederacy"
216,0,"CS ARMY OF NORTHERN VIRGINIA (ELMS)",20030,3,3500,16530,1800,18230,5700,0,0,0,,0,0,,0,"DO","EE","LF",,,"0","SS","WD",,10,-10,30,-20,5,"PICKETT","Confederacy"
216,1,"US ARMY OF THE POTOMAC(+)",45247,3,13000,32247,2781,42466,11815,0,0,0,,0,0,,0,"FF","EE","RF",,,,"RR","SS",,10,-10,10,-10,5,"SHERIDAN","USA"
217,0,"CS PICKETT'S DIV (+)",10000,1,10000,0,6000,4000,,0,0,0,10,0,0,10,0,"DD",,,,,"0","WL",,,0,-10,10,-10,3,"PICKETT","Confederacy"
217,1,"US V CORPS",30000,1,30000,0,634,29366,11500,0,0,0,,0,0,,0,"FF","EE","LR",,,,"BB",,,10,0,58,0,8,"SHERIDAN","USA"
218,0,"CS CAV CORPS (ELMS)",7000,1,7000,0,4000,3000,,0,0,0,,0,0,32,0,"DD",,,,,"0","WD",,,0,-29,25,-25,2,"FORREST","Confederacy"
218,1,"US CAV CORPS MIL DIV MISSISSIPPI",13500,1,13500,0,400,13100,,0,0,0,8,0,0,0,0,"FF",,,,,,"BB",,,0,-33,0,-25,8,"WILSON","USA"
219,0,"CS ARMY OF NORTHERN VIRGINIA (ELMS)",21000,1,21000,0,7000,14000,,0,0,0,0,0,0,0,0,"DO","FF",,,,"0","RR","WL",,0,-25,0,-14,2,"EWELL & ANDERSON","Confederacy"
219,1,"US VI CORPS(+)",30000,1,30000,0,1180,28820,,0,0,0,,0,0,,0,"FF","DE",,,,,"BB",,,33,0,10,-10,8,"SHERIDAN & WRIGHT","USA"
22,0,"SCOT ROY ARMY",3000,1,3000,0,1,2999,0,0,0,0,0,0,0,0,0,"DO","FF",,,,"0","PS",,,23,0,200,0,9,"MONTROSE","Royalist"
220,0,"FR I CORPS (-)",6000,1,6000,0,2100,3900,900,0,0,0,18,0,0,1,0,"DD",,,,,"0","WD",,,17,0,10,-5,4,"DOUAY","France"
220,1,"GER 3RD ARMY",51000,1,51000,0,1600,49400,3100,0,0,0,144,0,0,0,0,"FF","DE",,,,,"BB","PS",,37,0,0,-38,7,"FRIEDRICH WILHELM","Germany"
22,1,"SCOT COV ARMY",6800,1,6800,0,3000,3800,800,0,0,0,7,0,0,7,0,"FF",,,,,,"RR","WL",,9,-36,0,-33,3,"ELCHO","Parliamentarian"
221,0,"FR ARMY OF ALSACE",41000,1,41000,0,20300,20700,6000,0,0,0,131,0,0,33,0,"DD",,,,,"0","WD",,,32,0,0,-16,5,"MACMAHON","France"
221,1,"GER 3RD ARMY",82000,1,82000,0,10700,71300,5600,0,0,0,300,0,0,0,0,"FF","DE",,,,,"PP","PS",,52,0,5,-5,7,"FRIEDRICH WILHELM","Germany"
222,0,"FR 2ND CORPS",28000,3,13400,14600,3100,24900,3500,0,0,0,90,0,0,0,0,"DD",,,,,"0","WD",,,25,0,32,0,6,"FROSSARD","France"
222,1,"GER 1ST ARMY(+)",42000,3,16000,26000,4900,37100,4500,0,0,0,108,0,0,0,0,"FF","DE",,,,,"PP","PS",,33,0,5,-5,7,"STEINMETZ","Germany"
223,0,"FR ARMY OF LORRAINE",113000,1,113000,0,14000,99000,14000,0,0,0,228,0,0,1,0,"DO","FF",,,,"0","WD",,,17,0,21,0,4,"BAZAINE","France"
223,1,"GER 1ST & 2ND ARMIES",63000,3,29000,34000,16000,47000,11000,0,0,0,486,0,0,0,0,"FF","EE","LF",,,,"PP",,,33,-31,5,-5,8,"MOLTKE","Germany"
224,0,"FR ARMY OF LORRAINE",113000,1,113000,0,12800,100200,13000,0,0,0,520,0,0,0,0,"DO","FF",,,,"0","WD","SS",,10,-50,5,-5,3,"BAZAINE","France"
224,1,"GER 1ST & 2ND ARMIES",187000,1,187000,0,20200,166800,21000,0,0,0,732,0,0,0,0,"FF","EE","RF",,,,"PP","SS",,50,-50,5,-5,8,"MOLTKE","Germany"
225,0,"FR ARMY OF ALSACE",120000,1,120000,0,38000,82000,12000,0,0,0,564,0,0,,0,"DO","FF",,,,"0","AA",,,0,-15,5,-5,3,"MACMAHON (WIMPFEN)","France"
225,1,"GER 2ND & 3RD ARMIES",200000,1,200000,0,9000,191000,24000,0,0,0,701,0,0,0,0,"FF","DE",,,,,"BB",,,0,-17,5,-5,9,"MOLTKE","Germany"
226,0,"BAV I CORPS",20000,1,20000,0,1800,18200,5000,0,0,0,100,0,0,2,0,"DD",,,,,"0","WD",,,18,-5,0,-30,4,"VON DER TANN","Germany"
226,1,"FR ARMY OF THE LOIRE",60000,1,60000,0,1800,58200,,0,0,0,150,0,0,0,0,"FF","EE","RF",,,,"BB",,,17,0,0,-33,6,"AURELLE","France"
227,0,"FR ARMY OF THE LOIRE",116000,1,116000,0,28000,88000,16000,0,0,0,432,0,0,83,0,"DD",,,,,"0","WD",,,38,-45,5,-5,3,"AURELLE","France"
227,1,"GER 2ND ARMY",86000,1,86000,0,6300,79700,14800,0,0,0,459,0,0,,0,"FF",,,,,,"BB","PS",,15,-15,5,-5,7,"FRIEDRICH KARL","Germany"
228,0,"FR ARMY OF THE LOIRE",88000,1,88000,0,26000,62000,,0,0,0,,0,0,17,0,"DD",,,,,"0","WD",,,36,0,10,-4,3,"CHANZY","France"
228,1,"GER 2ND ARMY",72000,1,72000,0,4000,68000,,0,0,0,324,0,0,0,0,"FF","EE","LF",,,,"BB","PS",,24,0,0,-15,7,"FRIEDRICK KARL","Germany"
229,0,"GER ARMY OF THE SOUTH",40000,1,40000,0,2000,38000,4500,0,0,0,364,0,0,,0,"dd",,,,,"0",,,,33,0,10,-18,8,"WERDER","Germany"
229,1,"FR ARMY OF THE EAST",110000,1,110000,0,8000,102000,9000,0,0,0,146,0,0,,0,"FF",,,,,,"RR","WD",,23,0,0,-50,3,"BOURBAKI","France"
23,0,"SCOT COV ARMY",6800,1,6800,0,6000,800,800,0,0,0,0,0,0,0,0,"DD",,,,,"0","WL",,,0,-10,0,-2,2,"BAILLIE","Parliamentarian"
230,0,"BR 24TH REGT. (+)",1800,1,1800,0,1445,355,450,0,0,0,2,0,0,2,0,"DD",,,,,"0","AA",,,15,0,15,0,3,"PULLEINE","Great Britain"
230,1,"ZULU ARMY",20000,1,20000,0,3000,17000,0,0,0,0,0,0,0,0,0,"DE",,,"FF",,,"BB","PS",,0,-50,25,-25,9,"MAVUMENGWANA & TSHINGWAYO","Zulu"
